Unnamed: 0.1,Unnamed: 0,name,year,movie_rated,run_length,genres,release_date,rating,num_raters,num_reviews,review_url,movie_id,clean_title,imdb_id,description
671,70,Gone Baby Gone,2007,R,1h 54min,Crime; Drama; Mystery; ,19 October 2007 (USA),7.6,244160,563,https://www.imdb.com/title/tt0452623/reviews/_ajax?ref_=undefined&paginationKey=,671,gone baby gone,tt0452623,"Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally."
672,71,Unknown,2011,PG-13,1h 53min,Action; Mystery; Thriller; ,18 February 2011 (USA),6.8,243861,385,https://www.imdb.com/title/tt1401152/reviews/_ajax?ref_=undefined&paginationKey=,672,unknown,tt1401152,"When a man awakens from a coma only to discover that someone has taken on his identity, he teams up with a young woman to prove who he is."
673,73,Atonement,2007,R,2h 3min,Drama; Mystery; Romance; ,11 January 2008 (USA),7.8,241597,650,https://www.imdb.com/title/tt0783233/reviews/_ajax?ref_=undefined&paginationKey=,673,atonement,tt0783233,Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.
674,74,The Village,2004,PG-13,1h 48min,Drama; Mystery; Thriller; ,30 July 2004 (USA),6.5,237425,2060,https://www.imdb.com/title/tt0368447/reviews/_ajax?ref_=undefined&paginationKey=,674,the village,tt0368447,A series of events tests the beliefs of a small isolated countryside village.
675,77,The Fountain,2006,PG-13,1h 37min,Drama; Mystery; Romance; ,22 November 2006 (USA),7.2,224147,985,https://www.imdb.com/title/tt0414993/reviews/_ajax?ref_=undefined&paginationKey=,675,the fountain,tt0414993,"As a modern-day scientist, Tommy is struggling with mortality, desperately searching for the medical breakthrough that will save the life of his cancer-stricken wife, Izzi."
676,78,Identity,2003,R,1h 30min,Mystery; Thriller; ,25 April 2003 (USA),7.3,221013,772,https://www.imdb.com/title/tt0309698/reviews/_ajax?ref_=undefined&paginationKey=,676,identity,tt0309698,"Stranded at a desolate Nevada motel during a nasty rain storm, ten strangers become acquainted with each other when they realize that they're being killed off one by one."
677,79,Knowing,2009,PG-13,2h 1min,Action; Drama; Mystery; ,20 March 2009 (USA),6.2,216703,885,https://www.imdb.com/title/tt0448011/reviews/_ajax?ref_=undefined&paginationKey=,677,knowing,tt0448011,M.I.T. professor John Koestler links a mysterious list of numbers from a time capsule to past and future disasters and sets out to prevent the ultimate catastrophe.
678,81,Disturbia,2007,PG-13,1h 45min,Crime; Drama; Mystery; ,13 April 2007 (USA),6.8,215909,528,https://www.imdb.com/title/tt0486822/reviews/_ajax?ref_=undefined&paginationKey=,678,disturbia,tt0486822,"When a teenager is placed under house arrest, he succumbs to despair and starts spying on his neighbors, hoping to spice up his life. This, however, leads him to witness a serial killer on the loose."
679,84,National Treasure: Book of Secrets,2007,PG,2h 4min,Action; Adventure; Mystery; ,21 December 2007 (USA),6.5,214171,319,https://www.imdb.com/title/tt0465234/reviews/_ajax?ref_=undefined&paginationKey=,679,national treasure: book of secrets,tt0465234,Benjamin Gates must follow a clue left in John Wilkes Booth's diary to prove his ancestor's innocence in the assassination of Abraham Lincoln.
680,86,The Girl with the Dragon Tattoo,2009,R,2h 32min,Crime; Drama; Mystery; ,30 April 2010 (USA),7.8,205262,316,https://www.imdb.com/title/tt1132620/reviews/_ajax?ref_=undefined&paginationKey=,680,the girl with the dragon tattoo,tt1132620,"Influential industrialist Vanger's niece Harriet disappeared under mysterious circumstances 40 years ago. As a last attempt at solving the case, he hires investigative journalist Mikael Blomkvist."
681,87,Cube,1997,R,1h 30min,Drama; Mystery; Sci-Fi; ,11 July 1998 (Netherlands),7.2,204760,819,https://www.imdb.com/title/tt0123755/reviews/_ajax?ref_=undefined&paginationKey=,681,cube,tt0123755,A group of strangers awaken to find themselves placed in a giant cube. Each one of them is gifted with a special skill and they must work together to escape an endless maze of deadly traps.
682,90,Murder on the Orient Express,2017,PG-13,1h 54min,Crime; Drama; Mystery; ,10 November 2017 (USA),6.5,200486,877,https://www.imdb.com/title/tt3402236/reviews/_ajax?ref_=undefined&paginationKey=,682,murder on the orient express,tt3402236,"When a murder occurs on the train on which he's travelling, celebrated detective Hercule Poirot is recruited to solve the case."
683,91,Wind River,2017,R,1h 47min,Crime; Drama; Mystery; ,18 August 2017 (USA),7.7,193037,609,https://www.imdb.com/title/tt5362988/reviews/_ajax?ref_=undefined&paginationKey=,683,wind river,tt5362988,"A wildlife officer, who is haunted by a tragedy that happened because of him, teams up with an FBI agent in solving a murder of a young woman on a Wyoming Native American reservation and hopes to get redemption from his past regrets."
684,92,The Happening,2008,R,1h 31min,Drama; Mystery; Sci-Fi; ,13 June 2008 (USA),5.0,192408,1379,https://www.imdb.com/title/tt0949731/reviews/_ajax?ref_=undefined&paginationKey=,684,the happening,tt0949731,"A science teacher, his wife, and a young girl struggle to survive a plague that causes those infected to commit suicide."
685,93,The Number 23,2007,R,1h 38min,Crime; Mystery; Thriller; ,23 February 2007 (USA),6.4,190439,414,https://www.imdb.com/title/tt0481369/reviews/_ajax?ref_=undefined&paginationKey=,685,the number 23,tt0481369,"Walter Sparrow becomes obsessed with a novel that he believes was written about him, as more and more similarities between himself and his literary alter ego seem to arise."
686,94,The Secret in Their Eyes,2009,R,2h 9min,Drama; Mystery; Romance; ,21 May 2010 (USA),8.2,186147,291,https://www.imdb.com/title/tt1305806/reviews/_ajax?ref_=undefined&paginationKey=,686,the secret in their eyes,tt1305806,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.
687,97,Dark City,1998,R,1h 40min,Mystery; Sci-Fi; Thriller; ,27 February 1998 (USA),7.6,184177,679,https://www.imdb.com/title/tt0118929/reviews/_ajax?ref_=undefined&paginationKey=,687,dark city,tt0118929,"A man struggles with memories of his past, which include a wife he cannot remember and a nightmarish world no one else ever seems to wake up from."
688,98,Tinker Tailor Soldier Spy,2011,R,2h 2min,Drama; Mystery; Thriller; ,6 January 2012 (USA),7.1,182571,604,https://www.imdb.com/title/tt1340800/reviews/_ajax?ref_=undefined&paginationKey=,688,tinker tailor soldier spy,tt1340800,"In the bleak days of the Cold War, espionage veteran George Smiley is forced from semi-retirement to uncover a Soviet Agent within MI6."
